Header Size:	8
Name:	STANDARDIZED 
Date:	Wed Mar 04 12:31:20 2015
Coordinate System:	Global Coordinate System
Character Dimensions:	3	6
TCP Rotation Matrix:	0	0	-1	0	1	0	1	0	0
Column Fields:	CartesianPosition
Column Element Size:	3
Entries:	865
-0.000107	0.006334	0.001260
-0.000119	0.006333	0.001262
-0.000130	0.006333	0.001263
-0.000143	0.006332	0.001270
-0.000156	0.006331	0.001275
-0.000169	0.006330	0.001280
-0.000181	0.006329	0.001285
-0.000191	0.006328	0.001290
-0.000205	0.006327	0.001299
-0.000217	0.006326	0.001304
-0.000230	0.006325	0.001311
-0.000242	0.006324	0.001317
-0.000254	0.006324	0.001323
-0.000267	0.006323	0.001330
-0.000281	0.006322	0.001337
-0.000291	0.006321	0.001343
-0.000303	0.006320	0.001349
-0.000317	0.006319	0.001356
-0.000329	0.006318	0.001364
-0.000340	0.006318	0.001369
-0.000351	0.006317	0.001372
-0.000357	0.006317	0.001360
-0.000354	0.006317	0.001349
-0.000349	0.006317	0.001337
-0.000342	0.006318	0.001322
-0.000336	0.006318	0.001310
-0.000329	0.006319	0.001296
-0.000321	0.006320	0.001280
-0.000314	0.006320	0.001266
-0.000306	0.006321	0.001250
-0.000298	0.006321	0.001233
-0.000291	0.006322	0.001218
-0.000283	0.006323	0.001201
-0.000276	0.006323	0.001184
-0.000268	0.006324	0.001166
-0.000260	0.006325	0.001148
-0.000254	0.006325	0.001133
-0.000248	0.006326	0.001118
-0.000242	0.006326	0.001103
-0.000236	0.006326	0.001089
-0.000230	0.006327	0.001075
-0.000224	0.006326	0.001060
-0.000220	0.006325	0.001048
-0.000216	0.006325	0.001037
-0.000212	0.006325	0.001026
-0.000207	0.006324	0.001013
-0.000203	0.006324	0.001001
-0.000197	0.006324	0.000985
-0.000193	0.006323	0.000972
-0.000188	0.006323	0.000961
-0.000184	0.006323	0.000947
-0.000182	0.006323	0.000934
-0.000181	0.006323	0.000923
-0.000181	0.006322	0.000913
-0.000188	0.006321	0.000902
-0.000199	0.006320	0.000899
-0.000209	0.006318	0.000899
-0.000221	0.006317	0.000901
-0.000233	0.006317	0.000901
-0.000246	0.006316	0.000902
-0.000258	0.006315	0.000905
-0.000273	0.006314	0.000907
-0.000286	0.006313	0.000908
-0.000299	0.006312	0.000909
-0.000310	0.006311	0.000911
-0.000322	0.006311	0.000913
-0.000332	0.006309	0.000914
-0.000342	0.006309	0.000913
-0.000356	0.006308	0.000911
-0.000369	0.006307	0.000908
-0.000380	0.006306	0.000909
-0.000391	0.006305	0.000906
-0.000402	0.006305	0.000894
-0.000406	0.006305	0.000882
-0.000404	0.006305	0.000871
-0.000401	0.006305	0.000858
-0.000396	0.006306	0.000843
-0.000390	0.006305	0.000827
-0.000384	0.006306	0.000812
-0.000378	0.006306	0.000798
-0.000373	0.006307	0.000784
-0.000369	0.006307	0.000771
-0.000365	0.006308	0.000761
-0.000361	0.006308	0.000749
-0.000356	0.006308	0.000737
-0.000351	0.006307	0.000725
-0.000345	0.006308	0.000711
-0.000339	0.006308	0.000697
-0.000333	0.006308	0.000684
-0.000328	0.006309	0.000671
-0.000323	0.006309	0.000661
-0.000318	0.006309	0.000647
-0.000312	0.006310	0.000634
-0.000307	0.006310	0.000623
-0.000302	0.006310	0.000610
-0.000296	0.006311	0.000596
-0.000291	0.006310	0.000585
-0.000287	0.006308	0.000574
-0.000282	0.006303	0.000563
-0.000278	0.006302	0.000552
-0.000271	0.006302	0.000538
-0.000266	0.006302	0.000525
-0.000260	0.006303	0.000512
-0.000257	0.006304	0.000501
-0.000252	0.006304	0.000490
-0.000245	0.006304	0.000475
-0.000239	0.006304	0.000460
-0.000232	0.006305	0.000444
-0.000225	0.006305	0.000427
-0.000221	0.006306	0.000417
-0.000216	0.006306	0.000405
-0.000207	0.006307	0.000385
-0.000202	0.006307	0.000372
-0.000198	0.006307	0.000362
-0.000192	0.006308	0.000349
-0.000187	0.006308	0.000336
-0.000181	0.006309	0.000323
-0.000175	0.006309	0.000309
-0.000169	0.006309	0.000293
-0.000164	0.006310	0.000281
-0.000160	0.006308	0.000270
-0.000158	0.006308	0.000257
-0.000168	0.006306	0.000256
-0.000181	0.006303	0.000266
-0.000195	0.006302	0.000279
-0.000209	0.006300	0.000292
-0.000220	0.006299	0.000300
-0.000230	0.006298	0.000308
-0.000231	0.006298	0.000297
-0.000227	0.006298	0.000286
-0.000222	0.006299	0.000273
-0.000222	0.006299	0.000261
-0.000218	0.006300	0.000250
-0.000219	0.006300	0.000239
-0.000230	0.006299	0.000237
-0.000242	0.006298	0.000234
-0.000253	0.006298	0.000226
-0.000259	0.006298	0.000216
-0.000269	0.006298	0.000203
-0.000281	0.006297	0.000192
-0.000291	0.006296	0.000183
-0.000301	0.006296	0.000174
-0.000311	0.006295	0.000168
-0.000321	0.006294	0.000162
-0.000333	0.006294	0.000154
-0.000345	0.006293	0.000141
-0.000354	0.006293	0.000129
-0.000362	0.006293	0.000118
-0.000370	0.006293	0.000105
-0.000378	0.006293	0.000095
