Header Size:	8
Name:	STANDARDIZED 
Date:	Fri Feb 27 16:45:56 2015
Coordinate System:	Global Coordinate System
Character Dimensions:	3	6
TCP Rotation Matrix:	0	0	-1	0	1	0	1	0	0
Column Fields:	CartesianPosition
Column Element Size:	3
Entries:	1637
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000005
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000004
-0.000029	0.000231	-0.000004
-0.000029	0.000232	-0.000004
-0.000029	0.000232	-0.000004
-0.000029	0.000233	-0.000004
-0.000029	0.000233	-0.000004
-0.000029	0.000235	-0.000004
-0.000030	0.000237	-0.000004
-0.000030	0.000239	-0.000004
-0.000030	0.000241	-0.000004
-0.000030	0.000243	-0.000004
-0.000031	0.000246	-0.000004
-0.000031	0.000249	-0.000004
-0.000031	0.000252	-0.000004
-0.000032	0.000254	-0.000004
-0.000032	0.000258	-0.000004
-0.000033	0.000261	-0.000004
-0.000033	0.000264	-0.000004
-0.000033	0.000268	-0.000005
-0.000034	0.000272	-0.000005
-0.000035	0.000276	-0.000004
-0.000035	0.000280	-0.000004
-0.000036	0.000285	-0.000003
-0.000037	0.000289	-0.000002
-0.000038	0.000296	-0.000003
-0.000039	0.000302	-0.000001
-0.000041	0.000310	0.000000
-0.000042	0.000316	0.000001
-0.000044	0.000325	0.000003
-0.000046	0.000333	0.000004
-0.000048	0.000341	0.000007
-0.000050	0.000350	0.000009
-0.000052	0.000359	0.000011
-0.000054	0.000368	0.000013
-0.000057	0.000378	0.000016
-0.000059	0.000388	0.000018
-0.000062	0.000398	0.000021
-0.000065	0.000410	0.000024
-0.000068	0.000424	0.000027
-0.000071	0.000436	0.000029
-0.000074	0.000448	0.000032
-0.000077	0.000461	0.000036
-0.000080	0.000472	0.000039
-0.000083	0.000487	0.000042
-0.000086	0.000501	0.000045
-0.000090	0.000517	0.000048
-0.000093	0.000533	0.000051
-0.000097	0.000547	0.000056
-0.000101	0.000562	0.000059
-0.000105	0.000580	0.000062
-0.000109	0.000599	0.000066
-0.000113	0.000617	0.000071
-0.000117	0.000635	0.000074
-0.000121	0.000653	0.000077
-0.000125	0.000672	0.000080
-0.000129	0.000692	0.000085
-0.000133	0.000710	0.000089
-0.000138	0.000727	0.000093
-0.000142	0.000745	0.000098
-0.000147	0.000765	0.000102
-0.000151	0.000785	0.000107
-0.000156	0.000803	0.000113
-0.000161	0.000822	0.000118
-0.000166	0.000842	0.000122
-0.000171	0.000862	0.000127
-0.000176	0.000881	0.000132
-0.000181	0.000900	0.000138
-0.000186	0.000920	0.000144
-0.000191	0.000938	0.000150
-0.000197	0.000958	0.000157
-0.000202	0.000978	0.000163
-0.000208	0.000997	0.000170
-0.000214	0.001017	0.000177
-0.000220	0.001036	0.000184
-0.000226	0.001054	0.000192
-0.000231	0.001072	0.000200
-0.000237	0.001091	0.000206
-0.000243	0.001112	0.000214
-0.000249	0.001130	0.000222
-0.000255	0.001148	0.000229
-0.000262	0.001169	0.000238
-0.000268	0.001187	0.000247
-0.000275	0.001206	0.000257
-0.000283	0.001227	0.000268
-0.000290	0.001244	0.000278
-0.000297	0.001264	0.000288
-0.000304	0.001286	0.000298
-0.000311	0.001305	0.000308
-0.000319	0.001325	0.000319
-0.000327	0.001346	0.000330
-0.000335	0.001366	0.000342
-0.000343	0.001386	0.000353
-0.000351	0.001407	0.000365
-0.000360	0.001427	0.000379
-0.000369	0.001448	0.000392
-0.000378	0.001470	0.000404
-0.000386	0.001491	0.000417
